1654,1,Bitbucket
59836,1,GitHub
1053,1,GitLab
4839,1,SourceForge
37,10,GitHub
1,10,SourceForge
26,11,GitHub
20,12,GitHub
19,13,GitHub
8,14,GitHub
5,15,GitHub
6,16,GitHub
9,17,GitHub
7,18,GitHub
6,19,GitHub
131,2,Bitbucket
13470,2,GitHub
91,2,GitLab
328,2,SourceForge
6,20,GitHub
1,21,GitHub
1,215,GitHub
3,22,GitHub
5,23,GitHub
2,25,GitHub
1,26,GitHub
25,3,Bitbucket
4188,3,GitHub
11,3,GitLab
46,3,SourceForge
1,30,GitHub
1,33,GitHub
5,4,Bitbucket
1463,4,GitHub
5,4,GitLab
13,4,SourceForge
637,5,GitHub
3,5,GitLab
8,5,SourceForge
301,6,GitHub
1,6,GitLab
4,6,SourceForge
1,60,GitHub
165,7,GitHub
2,7,SourceForge
1,70,GitHub
1,73,GitHub
112,8,GitHub
1,9,Bitbucket
54,9,GitHub
1,9,SourceForge
1,URLCount,Category
