Directory,TotalURLS,SourceForgeURLS,GitHubURLs,GitLabURLs,BitbucketURLs
1312,15441,74,102,0,10
1010,9321,30,2,0,0
1903,39630,71,2500,19,48
1806,35264,49,2011,19,61
1509,20363,60,342,0,22
1904,42592,78,3511,47,55
1802,36705,76,1792,12,41
0905,5103,21,0,0,0
1812,39600,63,2360,15,47
1408,13364,50,121,2,12
1405,17559,64,155,4,22
2007,59947,78,5317,68,59
2108,53238,62,5167,108,37
1006,7046,37,0,0,2
1707,28993,81,1182,6,34
1808,34013,60,2011,21,37
2004,55844,90,5096,56,43
1909,48919,79,3834,38,32
0907,5794,21,0,0,2
1610,28355,61,867,2,34
1001,6971,64,3,0,1
2101,55338,65,4257,107,46
0709,5161,15,0,0,0
0811,5404,17,1,0,0
1602,20062,67,524,1,32
1605,24530,61,658,6,28
0911,7088,22,2,0,1
0809,5194,18,0,0,0
0807,4759,21,0,0,0
1011,9862,40,5,0,1
1310,15991,72,86,0,8
1810,43147,63,2576,18,39
1809,35877,74,2100,21,49
1406,15498,59,165,0,20
1703,28789,121,1141,9,47
1505,16054,62,274,4,18
0906,7829,37,3,0,1
1301,11985,61,66,0,5
1503,16648,63,245,0,15
1202,10658,42,15,0,3
1112,9652,45,14,0,0
1409,17021,61,143,0,20
1106,8373,37,9,0,3
1109,8917,43,14,0,1
1410,17258,77,226,0,24
1309,13891,52,95,0,15
0812,6069,10,0,0,0
1103,8306,60,6,0,0
0901,5282,18,0,0,0
1811,40933,84,2625,22,67
1304,12564,81,64,0,8
1902,40444,61,2381,19,43
1803,34787,62,1802,9,35
1912,44441,80,3348,56,48
1706,27903,73,1093,10,39
1603,23275,59,600,3,18
1207,12813,47,76,0,4
1311,14873,65,104,1,8
1801,34144,64,1412,8,33
1403,15719,71,121,0,7
1506,17857,83,397,4,29
1607,24086,60,473,6,27
0707,4589,20,0,0,0
1108,9122,51,11,0,0
1306,14242,49,80,0,5
1206,11271,51,19,0,0
0801,4588,16,0,0,0
1101,7032,32,3,0,0
1911,45411,68,3536,55,36
2001,45647,70,2767,39,52
1402,12681,47,106,0,14
0910,6772,42,0,0,2
1704,23651,55,955,2,28
1102,7786,31,11,0,0
2110,64031,70,6948,77,60
0912,6932,29,0,0,0
1209,10253,44,37,0,8
2102,56212,59,5185,62,53
0908,6735,23,0,0,0
0810,5937,14,1,0,0
2107,58862,89,5521,58,39
1210,12837,78,49,0,4
1807,37971,72,2045,19,55
1305,11563,51,48,0,5
1009,7203,50,3,0,1
2111,45334,46,3575,30,30
1712,30970,57,1408,10,37
2010,66714,121,6911,74,56
2109,70136,67,6581,90,37
1208,11044,56,40,0,4
2012,59578,67,5329,74,46
1307,14473,65,80,0,15
1004,6224,29,0,0,0
1901,38338,60,2280,28,56
1501,14663,62,181,0,14
1502,14654,62,232,0,23
1711,33547,64,1601,12,34
1012,8768,46,4,0,0
0805,5506,15,1,0,0
1905,45584,66,3553,42,42
1111,11292,45,21,0,4
1609,27284,66,679,2,43
1407,17474,66,145,0,24
1608,22070,98,625,2,41
1212,12968,37,50,0,2
2105,63394,70,5613,99,54
1804,34698,66,1871,17,34
1401,14522,52,111,0,5
0708,6423,10,0,0,0
2006,64773,92,5818,80,44
2002,44742,71,4640,51,42
1107,8122,65,12,0,0
1611,27794,77,956,2,39
1702,22513,87,876,9,29
2005,60843,74,4921,72,36
1308,12293,44,80,1,17
1805,40166,61,2278,22,40
2103,68401,68,6803,157,43
0704,3943,22,0,0,0
1604,21244,55,511,7,41
1008,6365,40,2,0,2
0712,5157,15,0,0,0
0804,5244,19,0,0,0
1910,47949,54,3672,160,45
1303,13848,50,60,0,0
1302,12017,31,52,0,6
0705,3537,13,0,0,0
0903,7360,20,3,0,0
1705,31433,66,1335,7,39
1105,8136,36,6,0,1
1906,45069,71,3365,25,31
2009,62097,84,4785,74,54
1508,14275,61,300,4,19
1404,13494,69,146,0,8
1504,16940,63,273,0,21
1512,19930,55,357,0,13
1007,5848,32,2,0,1
1511,19311,54,513,1,23
1002,6070,23,0,0,0
0710,6591,15,0,0,0
2106,76015,57,7457,86,44
1201,9422,44,20,0,4
0711,4850,19,1,0,0
1601,20076,58,387,1,19
1709,32799,76,1466,10,42
1205,11929,53,21,0,3
1710,33720,86,1438,9,39
2008,54368,73,4296,59,36
1510,20328,74,314,0,25
0808,5596,11,0,0,0
2003,47511,79,4488,69,52
1606,31574,57,763,3,30
0803,6506,24,0,0,0
0909,7364,23,1,0,0
1412,16093,75,235,0,14
1507,19311,65,324,2,24
1708,27567,54,1320,10,32
0904,5758,27,0,0,0
1612,23464,68,736,5,27
1110,10566,42,10,0,1
0806,4779,26,0,0,0
1701,23468,67,807,8,24
1003,7891,20,4,0,1
1907,46101,67,3362,39,58
0802,4149,12,0,0,0
1204,11619,60,29,0,2
1005,7842,40,2,0,0
0706,4036,16,0,0,0
1203,11536,44,31,0,3
0902,5343,16,3,0,0
2104,58632,77,6035,63,42
1411,15597,45,200,0,10
1908,40258,65,3180,39,37
1211,13469,53,49,0,3
2011,57113,79,5161,60,54
1104,8087,27,5,0,1
